label;replace by
soil degradation;
soil fertilization;fertilizer
soil microbiology;
soil moisture;
soils;
solanum lycopersicum;
solanum melongena;
solar energy;
solar panels;
solar power;
solar power generation;
solid waste;
solid wastes;
solubilization;
solution and solubility;
solutions;
sorption;
space research;
spain;
sparus aurata;
speciation;
speciation (chemistry);
species composition;
species cultivation;
species differentiation;
specific growth rate;
specific surface area;
spectrometer;
spectrophotometry;
spectroscopy;
spectroscopy, fourier transform infrared;
sphingobacteria;
sphingomonadales;
spinach;
spinacia oleracea;
sprout spent irrigation water;
stakeholder;
standard deviation;
stocking density;
storm sewers;
storm water runoff;
storm-water runoff;
storms;
stream (river);
students;
sturgeon;
submerged macrophyte;
substance misuse;
substrate;
sugar amino acids;
sugar concentration;
sugars;
sulfate;
sulfoquinovosyldiacylglycerol;
sulfur;
sunlight;
supervisory control and data acquisition;
support vector machines;
surface area;
surveys;
surveys and questionnaires;
survival;
survival rate;
suspended load;
suspended particulate matter;
sustainability;sustainability
sustainable;sustainability
sustainable agricultural;sustainability
sustainable agriculture;sustainability
sustainable aquaculture;sustainability
sustainable crop production;sustainability
sustainable development;sustainability
sustainable ecosystems;sustainability
sustainable energy;sustainability
sustainable food production;sustainability
sustainable growth;sustainability
sustainable practices;sustainability
sustainable production;sustainability
sustainable resources;sustainability
sustainable solution;sustainability
sustainable systems;sustainability
sustainable technology;sustainability
sweet basil;basil
swiss chard;
switzerland;
symbiotic relationship;
synthetic fertilizers;fertilizer
systems analysis;
systems engineering;
t-rflp;
tandem mass spectrometry;
tank;
tanks (containers);
taxonomy;
teaching;
technological development;
technology;
technology adoption;
technology networking;
technology transfer;
teleost;
temperature;
temperature and humidities;
temperature control;
temperature effect;
terapontidae;
testing method;
textures;
theoretical model;
thermal energy;
thermal energy storage;
thermal power;
thermal processing (foods);
thingspeak;
threat;
threshold;
threshold levels;
tilapia;
time factor;
time factors;
tomato;tomato
tomato crops;tomato
tomato plant aquaponics;tomato
tomato plants;tomato
total amino acids;
total ammonia nitrogens;
total dissolved solids;
total organic carbon;
total suspended solids;
toxic effects;
toxic levels;
toxic material;
toxic substance;
toxicity;
toxicity testing;
trace element;
training;
transcriptomics;
transformation;
transgenic microorganism;
transient analysis;
transpiration;
transplantation;
treatment and disposal;
treatment units;
trends;
trout;trout
tryptophan;
tuna;
turbidity;
turbines;
uasb;
ultrasonics;
ultrasound;
ultraviolet radiation;
unclassified drug;
united kingdom;
united states;
unspecific monooxygenase;
upscaling;
urban agriculture;
urban agricultures;
urban area;
urban areas;
urban environments;
urban farming;
urban growth;
urban planning;
urban region;
urban resilience;
urban resource management;
urban sustainability;
urbanization;
urea;
user interfaces;
user-computer interface;
using life;
value addition;
vegetable;vegetables
vegetable cultivation;
vegetable productions;
vegetables;vegetables
vegetables and fish;
vegetation;
verrucomicrobia;
vertical farming;
veterinary medicine;
viet nam;
vine;
viridiplantae;
wages;
waste;
waste collection;
waste component removal;
waste discharges;
waste disposal;
waste disposal, fluid;
waste management;
waste production;
waste recycling;
waste stabilization ponds;
waste stream;
waste treatment;
waste utilization;
waste water;
waste water management;
waste water recycling;water reuse
waste water treatment plant;water treatment
wastewater;
wastewater management;
wastewater reclamation;
wastewater treatment;water treatment
water;
water absorption;
water aeration;
water analysis;
water and energies;
water bacteriology;
water budget;
water circulation;
water conservation;
water consumption;
water contamination;water pollution
water content;
water exchange;
water filtration;
water flow;
water heating;
water hyacinth;
water hyacinth roots;
water levels;
water loss;
water management;
water metabolism;
water microbiology;
water monitoring;
water pollutant;water pollution
water pollutants, chemical;water pollution
water pollution;water pollution
water pollution control;water pollution
water purification;wat
water quality;
water quality monitoring;monitoring
water quality parameters;
water recirculation;
water recycling;water reuse
water repellence;
water resource;water resource
water resources;water resource
water retention;
water reuse;water reuse
water sampling;
water scarcity;
water spinach;
water spinachs;
water storage ponds;
water supply;water supply
water supply systems;water supply
water tanks;water supply
water temperature;water temperature
water temperatures;water temperature
water transport;
water treatment;water treatment
water treatment plants;water treatment
water use;
water use efficiency;
watercress;
waters resources;
waterworks;
weight;
western hemisphere;
wetland;
wetlands;
wifi;
willingness to pay;
wind power;
wireless sensor network;
wireless sensor networks;
world;
world population;
yield;
yield response;
young adult;
zinc ion;
