id	keyword	occurrences	total link strength
3019	machinery	3	28
3023	macrobrachium amazonicum	2	47
3025	macronutrient	1	49
3026	macrophyte	1	58
3027	macrophytes	1	58
3028	magnesium	2	83
3029	magnesium ion	1	49
3035	male	4	107
3038	man machine systems	4	60
3042	management concerns	1	44
3043	management decisions	1	44
3047	management practice	2	39
3048	management practices	2	42
3049	management scenarios	1	44
3050	management strategies	2	36
3054	manned space flight	2	15
3056	manufacture	4	44
3060	manufacturing execution system	2	39
3062	manure	3	123
3063	manures	1	56
3069	marijuana	2	39
3071	marine aquaponic	2	38
3072	marine aquaponics	4	72
3074	marine ecosystem	2	40
3075	marine engineering	3	29
3076	marine environment	3	81
3080	marine species	1	53
3083	market conditions	4	48
3088	marketing	6	48
3096	mass balance	7	210
3098	mass balance equations	1	68
3101	mass spectrometry	2	48
3102	mass transfer	1	39
3103	mass transport	1	45
3105	mathematical model	2	72
3111	maximum efficiency	1	46
3113	mean square error	2	25
3115	measurement	4	54
3117	meat	2	37
3119	meats	9	130
3122	mechanical filters	4	59
3125	mecklenburg-west pomerania	2	41
3132	medicago sativa	1	38
3140	mekong delta	2	28
3143	melon (cucumis melo l.)	1	36
3148	membrane filtration	3	70
3150	membrane filtrations	2	56
3152	"membranes, artificial"	1	45
3153	mental health	1	40
3154	mentha	2	39
3155	mentha arvensis	2	39
3159	mesorhizobium	1	41
3163	metabolic parameters	1	36
3166	metabolism	20	635
3168	metabolomics	1	44
3169	metagenome	2	76
3170	metagenomics	3	143
3177	metals	1	49
3178	"metals, heavy"	1	49
3181	metatranscriptome	1	38
3182	metatranscriptomics	1	44
3185	methane	2	45
3186	methodology	2	112
3193	mexico [north america]	2	21
3196	micro-algae	5	148
3198	microalga	6	205
3199	microalgae	7	161
3203	microbial abundance	1	41
3204	microbial abundances	1	41
3206	microbial activity	9	257
3207	microbial biomass	1	57
3208	microbial communities	9	266
3209	microbial community	21	662
3211	microbial community dynamics	1	38
3213	microbial consortium	1	47
3215	microbial diversity	7	253
3216	microbial electrochemical technologies	1	43
3219	microbial inoculums	1	57
3220	microbial interactions	2	82
3226	microbiology	11	363
3227	microbiome	3	57
3228	microbiota	8	299
3230	microclimate	1	45
3231	microcontroller	3	41
3233	microcontrollers	2	30
3234	microcosm	2	109
3238	microfiltration	2	56
3239	microflora	9	294
3241	micronutrients	2	34
3242	microorganism	6	141
3243	microorganisms	8	172
3244	"microorganisms, genetically-modified"	1	57
3248	microwave pyrolysis	1	57
3249	microwave radiation	1	57
3251	microwaves	1	57
3252	middle aged	1	44
3263	mineral composition	2	49
3266	mineral nutrition	1	35
3267	mineralization	5	75
3269	mineralogy	2	50
3278	mint	2	39
3279	mints	2	29
3282	mitigation	2	65
3283	mitigation strategy	1	41
3290	mobile applications	9	96
3292	mobile computing	2	24
3297	model	3	29
3299	modeling	6	108
3306	"models, chemical"	1	48
3307	"models, theoretical"	1	50
3308	modern agricultures	2	27
3313	moisture	1	47
3317	mollusc	1	48
3318	molluscs	1	34
3319	molybdenum	1	49
3320	monetization	1	34
3321	monitor and control	2	24
3322	monitoring	24	261
3323	monitoring and control	6	62
3325	monitoring and controlling	5	64
3326	monitoring system	12	140
3331	monoculture	2	24
3333	monoterpenes	1	35
3349	motivation	2	63
3356	mqtt	2	31
3370	multiple sensors	2	18
3375	multivariant analysis	2	31
3380	municipal solid waste	3	73
3382	municipal wastewaters	4	90
3383	murray cod	5	37
3384	muskmelon	1	36
3385	mussel	1	48
3392	n2o emission	5	156
3401	nanotechnology	10	130
3405	nasturtium officinale	3	54
3407	native hawaiian	2	18
3412	natural environments	2	21
3418	natural resources	2	30
3420	naturally occurring	2	37
3424	navicula	1	57
3429	negibacteria	2	53
3431	neighborhood component analysis	2	19
3442	network security	3	25
3443	neural networks	2	21
3447	new jersey	1	36
3450	new species	1	53
3451	next generation sequencing	1	54
3452	next-generation sequencing	4	110
3453	nft	6	57
3460	nile tilapia	20	209
3462	nitrate	32	858
3464	nitrate concentration	2	23
3467	nitrate levels	3	32
3468	nitrate nitrogen	1	34
3470	nitrate removal	1	43
3471	nitrates	35	627
3472	nitric acid derivative	5	186
3473	nitrification	44	1074
3474	nitrification activity	1	57
3475	nitrification and denitrification	2	65
3477	nitrification process	7	85
3480	nitrifyer	2	104
3481	nitrifying bacteria	11	268
3482	nitrifying bacterium	5	157
3484	nitrite	12	250
3486	nitrite-oxidizing bacteria	2	80
3487	nitrites	2	34
3488	nitrobacter	5	53
3491	nitrogen	69	1778
3492	nitrogen and phosphorus	7	158
3493	nitrogen and phosphorus recoveries	1	56
3495	nitrogen balance	1	50
3500	nitrogen compounds	2	57
3501	nitrogen concentration	2	47
3502	nitrogen concentrations	2	26
3504	nitrogen cycle	3	24
3506	nitrogen cycling	2	99
3507	nitrogen derivative	2	102
3509	nitrogen fertilizers	3	57
3510	nitrogen fixation	2	64
3514	nitrogen metabolism	2	115
3515	nitrogen mineralization	2	27
3517	nitrogen oxide	1	41
3518	nitrogen oxides	5	157
3520	nitrogen recovery	2	35
3521	nitrogen removal	13	350
3522	nitrogen requirements	1	50
3523	nitrogen transformation	4	97
3524	nitrogen transformations	14	340
3525	nitrogen uptake	1	57
3527	nitrogen utilization	7	289
3528	nitrogen utilization efficiencies	7	217
3529	nitrogen utilization efficiency	6	168
3530	nitrogen-use efficiency	4	146
3532	nitrosomonadales	2	102
3533	nitrosomonas	7	150
3534	nitrosomonas communis	1	45
3535	nitrosomonas europaea	2	67
3537	nitrospira	7	280
3538	nitrospirae	2	82
3539	nitrous oxide	10	322
3542	nocardiopsis	1	56
3549	non-native species	1	44
3551	nonhuman	36	1499
3553	nonnative fishes	1	44
3556	north america	1	36
3557	nosz gene	1	47
3566	nucleic acids	1	38
3568	numerical investigations	1	39
3569	numerical method	2	50
3570	numerical methods	1	39
3571	numerical model	4	78
3574	nutrient	17	430
3577	nutrient availability	12	376
3579	nutrient budget	3	57
3582	nutrient composition	1	34
3583	nutrient concentration	4	89
3585	nutrient content	1	55
3590	nutrient cycling	10	241
3591	nutrient deficiency	4	75
3592	nutrient dynamics	10	200
3596	nutrient film technique	7	45
3599	nutrient film techniques	11	201
3603	nutrient loading	1	49
3605	nutrient management	4	69
3609	nutrient output	1	49
3610	nutrient recovery	10	191
3611	nutrient recycling	10	170
3614	nutrient removal	13	294
3615	nutrient removal efficiency	2	50
3616	nutrient requirement	1	45
3620	nutrient solution	9	145
3623	nutrient uptake	7	181
3624	nutrient use	1	37
3625	nutrient use efficiency	15	295
3626	nutrient utilization	2	30
3628	nutrients	88	1868
3630	nutrients cycle	2	17
3631	nutrients recovery	2	28
3632	nutrients removal	1	34
3633	nutrition	7	80
3638	nutritional status	4	64
3644	oceanic regions	1	36
3645	ocimum	15	236
3646	ocimum basilicum	11	169
3650	offender	1	40
3651	office buildings	2	31
3655	oils and fats	3	33
3657	omega 3 fatty acid	1	45
3658	omega-3 fatty acids	1	45
3659	omega-3-fatty acids	1	45
3664	oncorhynchus mykiss	5	76
3671	ontology	2	23
3678	open source software	2	20
3679	open systems	2	20
3680	operating condition	2	33
3683	operation conditions	2	30
3694	optimal conditions	3	32
3704	optimisations	2	38
3705	optimization	23	506
3707	optimum ratio	1	68
3711	oreochromis	5	79
3713	oreochromis mossambicus	2	31
3714	oreochromis niloticus	65	888
3719	organic agriculture	3	31
3723	organic carbon	6	197
3726	organic compounds	2	71
3728	organic farming	4	36
3732	organic food	2	42
3737	organic matter	6	195
3746	organic reduction	1	33
3750	organic wastes	3	30
3752	organism community	1	58
3753	organismal interaction	2	82
3754	organisms by metabolism	1	57
3755	organizations	1	36
3759	ornamental fish	3	50
3761	ornamental species	4	98
3762	orthophosphate	4	71
3763	orthophosphate removals	1	34
3765	osmosis	2	64
3768	ostreidae	1	34
3775	oxic conditions	1	43
3776	oxidation	2	62
3777	oxidation reduction potential	1	47
3778	oxidation reduction reaction	2	118
3779	oxidation-reduction	2	118
3781	oxyeleotris marmorata	2	41
3782	oxygen	8	302
3784	oxygen consumption	2	125
3785	oxygen containing groups	1	49
3786	oxygen distribution	1	51
3787	oxygen mass balance	1	51
3789	oxygen saturation	2	84
3790	oxygen supply	2	29
3793	oxygenation	1	58
3794	oyster	1	48
3795	oyster shell	1	34
3797	p availabilities	1	48
3802	pak choi	3	27
3805	palaemonidae	1	35
3810	pantoea	1	38
3819	parsley	2	41
3821	particle size	2	35
3832	pathogen	4	45
3834	pathogens	3	39
3839	peat	1	35
3843	pelletizing	3	32
3853	perception	6	57
3855	perciform	14	281
3860	performance assessment	15	338
3863	periphyton	2	49
3865	personal experience	1	44
3878	petroselinum crispum	3	50
3880	ph	28	750
3881	ph adaptation	1	57
3884	ph effects	2	89
3886	ph sensors	4	52
3890	phenol derivative	2	65
3892	phenols	2	65
3894	philippines	2	22
3896	phosphate	13	356
3899	phosphate ions	1	48
3902	phosphates	2	62
3903	phosphatidic acid	1	45
3904	phosphatidylcholine	1	45
3905	phosphatidylethanolamine	1	45
3906	phosphatidylglycerol	1	45
3907	phosphatidylinositol	1	45
3908	phospholipid	1	45
3909	phospholipids	1	45
3910	phosphorite	1	33
3911	phosphorus	33	754
3912	phosphorus cycle	2	36
3913	phosphorus recovery	1	33
3917	photobiore-actor	1	47
3918	photobioreactor	1	47
3919	photobioreactors	1	47
3925	photoperiod	3	50
3926	photosynthesis	8	158
3935	photovoltaic cells	5	39
3938	photovoltaic systems	2	20
3939	phragmites	1	45
3940	phragmites australis	1	45
3941	phragmites communis	1	45
3942	phylogeny	1	57
3944	physical parameters	2	39
3951	physicochemical parameters	2	33
3953	physio-chemical properties	1	35
3954	physiological models	3	83
3956	physiological response	3	55
3958	physiological trait	1	35
3959	physiology	13	347
3963	phytochemical	2	43
3964	phytochemicals	2	43
3965	phytochemistry	2	29
3969	phytopathogen	1	44
3973	phytoplankton	2	23
3974	phytoremediation	13	248
3980	pilot projects	1	40
3982	pilot study	2	76
3985	pisces	3	77
3986	pisciculture	3	111
3989	planctomycetes	2	105
3990	plankton	2	33
3992	planning	4	56
3996	plant	13	254
3997	plant community	3	51
3998	plant densities	3	53
3999	plant density	3	46
4000	plant development	3	74
4001	plant disease	1	44
4002	plant disease control	1	44
4003	plant diseases	1	44
4007	plant growing	2	77
4008	plant growth	22	694
4011	plant growth promotion	1	44
4015	plant height	2	75
4016	plant leaf	4	131
4017	plant leaves	3	94
4018	plant life extension	2	33
4021	plant nutrient	3	142
4023	plant nutrition	3	49
4024	plant parameters	1	35
4025	plant phenotyping	2	17
4026	plant production	5	112
4027	plant productivity	2	33
4030	plant root	10	445
4031	plant roots	6	235
4032	plant shutdowns	1	35
4033	plant species	2	46
4035	plant systems	2	24
4037	plant water use	2	102
4038	plant yield	6	325
4044	planting time	1	47
4045	plants	8	143
4046	plants (botany)	17	316
4051	plasticity	1	45
4057	polacrilin	1	57
4059	police	1	40
4062	pollutant removal	14	452
4065	pollutants	2	29
4066	pollution	7	104
4067	pollution control	5	83
4068	pollution effect	1	49
4070	poly lactic acid	2	61
4071	polyamines	1	36
4072	polychaeta	1	53
4073	polychaete	1	53
4074	polyculture	11	116
4075	polyester	2	61
4076	polyesters	2	61
4077	polylactic acid	2	61
4078	polylactide	2	61
4079	polymer	2	54
4080	polymerase chain reaction	5	210
4082	polyponics	2	32
4085	polysaccharides	2	28
4086	pond	7	233
4087	pond culture	3	40
4089	ponds	2	103
4092	population abundance	1	56
4094	population density	2	36
4098	population statistics	10	155
4099	porosity	1	47
4104	portulacaceae	1	53
4111	potassium	8	116
4117	potential mechanism	1	35
4122	poultry manure	1	56
4129	power-to-food	1	43
4137	pre-concentration	1	57
4141	precision agriculture	4	36
4142	precision farming	7	76
4146	prediction	5	116
4147	prediction model	2	34
4148	predictive analytics	3	53
4152	prevention and control	3	137
4155	priority journal	11	528
4158	private sectors	1	36
4161	probation	1	40
4163	probiotics	8	96
4165	procedures	31	1074
4166	process control	3	39
4168	process optimization	1	50
4175	production	6	36
4185	production process	1	50
4186	production system	15	239
4191	productive systems	1	55
4192	productivity	10	105
4199	profitability	12	153
4214	protein	9	131
4218	proteomics	1	44
4219	protozoa	1	58
4220	protozoan	2	74
4222	protozoon	1	58
4225	pseudomonas	3	47
4226	pseudomonas flourescens	1	44
4227	pseudomonas fluorescens	1	44
4228	pseudomonas veronii	1	44
4229	psychology	1	40
4232	public health	3	66
4233	public interventions	1	34
4234	publishing	2	40
4236	puerto rico	1	36
4237	pumps	2	22
4240	purchasing	2	39
4241	purification	5	100
4246	pyrolysis	2	71
4247	pyrosequencing	1	41
4257	quality adjusted life year	1	40
4260	quality control	17	253
4262	quality of life	1	40
4263	quality of water	2	35
4268	quantitative polymerase chain reaction	1	54
4269	quantitative study	1	41
4271	quercus robur	1	58
4272	quercus rubra	1	58
4273	questionnaire	4	119
4275	questionnaire survey	6	73
4280	radium	2	79
4284	rain	3	114
4286	rainbow trout	7	55
4287	rainbow trouts (oncorhynchus mykiss)	2	38
4289	rainwater harvesting	2	69
4294	ras	9	126
4299	re-circulation flow	1	45
4300	re-claimed water	1	46
4302	reactive oxygen metabolite	1	57
4303	real time	3	43
4306	real time polymerase chain reaction	2	75
4315	rearing	7	167
4317	rearing tanks	1	68
4318	recidivism	1	40
4320	recirculated aquaculture system	1	44
4323	recirculating aquaculture	6	74
4324	recirculating aquaculture system	29	624
4325	recirculating aquaculture system (ras)	3	59
4326	recirculating aquaculture systems	6	67
4327	recirculating aquaculture systems (ras)	3	28
4329	recirculating aquaponic system	3	80
4330	recirculating system	60	1242
4331	recirculating systems	5	27
4333	recirculation	4	67
4334	recirculation aquaculture	1	35
4337	recirculation aquaponic system	1	68
4344	recirculations	5	95
4347	recovery	8	223
4350	recurrent neural network (rnn)	2	30
4351	recurrent neural networks	2	30
4356	recycling	17	392
4365	reduce energy consumption	2	22
4366	reduced nicotinamide adenine dinucleotide dehydrogenase	1	45
4369	reduction	1	33
4381	regional planning	4	47
4382	regression analysis	5	80
4387	relative abundance	1	54
4394	remediation	1	35
4396	remote	2	37
4397	remote control	4	31
4401	removal efficiencies	4	69
4404	renewable energies	7	71
4405	renewable energy	9	91
4406	renewable energy resources	3	84
4407	renewable energy source	3	84
4408	renewable energy sources	2	52
4413	reproduction	1	44
4418	research groups	2	28
4420	research objectives	2	42
4422	research productions	1	35
4424	research stations	2	21
4425	research work	9	150
4427	reservoirs (water)	3	34
4430	resilience	3	58
4435	resource consumption	2	23
4436	resource development	3	74
4439	resource management	2	69
4440	resource recovery	3	46
4443	resource use	3	49
4453	reverse osmosis	2	34
4454	review	3	110
4460	rhizosphere	4	111
4462	rhodobacterales	1	41
4464	rhodocyclales	1	41
4465	ribulosebisphosphate carboxylase	1	45
4467	rice husk	1	47
4469	risk assessment	6	119
4470	risk management	1	44
4472	risk screening	1	44
4473	river	2	92
4476	rivers	3	113
4477	rna	6	137
4478	rna 16s	6	279
4479	rna sequencing	1	61
4480	"rna, ribosomal, 16s"	5	225
4482	robotics	3	30
4494	root	6	118
4503	rootzone	1	35
4506	runoff	2	105
4507	rural areas	3	39
4513	saccharomonospora	1	56
4516	safe reuse	1	35
4522	salicornia	3	34
4523	salicornia ramosissima	1	45
4524	salicornia ramosissima (chenopodiaceae)	1	45
4527	saline agriculture	2	40
4529	saline groundwater	2	34
4530	saline soil	2	27
4532	saline water	4	58
4533	salinity	11	222
4534	salinity tolerance	4	72
4538	salmon	1	48
4539	salmonella	5	71
4540	salmonella enterica	1	38
4541	salmonid	3	50
4542	salmonid culture	3	42
4544	salmonidae	2	37
4546	salt	2	23
4551	salt tolerance	2	41
4553	salt-tolerant plants	3	139
4559	sampling	2	67
4561	sand	2	81
4562	sand filter	1	53
4563	sander lucioperca	4	70
4568	sarcocornia	4	57
4579	scallop	1	48
4581	scanning electron microscope	1	45
4582	scanning electron microscopy	1	47
4583	scenedesmus	1	57
4592	scortum barcoo	1	44
4596	sea food	1	35
4600	sea urchin	1	48
4601	sea water	3	101
4603	seafood	3	55
4605	seasonal variation	2	72
4607	seawater	4	129
4619	sediment	2	102
4625	seed	5	65
4627	seedling	6	127
4630	seedlings	1	38
4651	sensitivity analysis	4	54
4652	sensor	7	80
4655	sensor network	2	22
4657	sensor networks	3	27
4658	sensor nodes	3	30
4660	sensors	5	54
4667	sequence analysis	1	54
4675	sesuvium portulacastrum	2	40
4678	sevilla	2	28
4679	seville	2	28
4680	sewage	6	240
4681	sewage sludge	1	35
4682	sewage treatment plants	1	35
4687	shell	1	34
4688	shellfish	6	103
4691	shoot	2	52
4695	shrimp	3	68
4697	shrimp culture	5	80
4698	shrimp farming	1	35
4704	silicon dioxide	1	53
4705	silurus glanis	1	55
4709	simulated results	1	48
4710	simulation	5	44
4711	simulation model	2	42
4717	simultaneous removal	1	57
4723	siphons	2	37
4734	sludge	15	325
4735	sludge bulking	1	58
4737	sludge digestion	2	50
4754	smart aquaponics	4	31
4755	smart city	2	27
4756	smart farm	2	22
4757	smart farming	5	45
4766	smart monitoring	2	23
4767	smart monitoring systems	2	25
4783	social care	1	40
4786	social medicine	1	40
4787	social welfare	1	40
4788	societies and institutions	1	36
4792	sodium	1	34
4794	sodium chloride	2	43
4796	sodium ion	1	49
4801	software	4	75
4804	soil conservation	3	72
4805	soil degradation	3	39
4806	soil fertilization	1	49
4808	soil microbiology	1	41
4810	soil moisture	2	42
4832	soils	7	99
4834	solanum lycopersicum	4	48
4835	solanum melongena	2	33
4838	solar energy	12	140
4841	solar panels	2	20
4843	solar power	3	19
4844	solar power generation	3	42
4849	solid waste	5	69
4850	solid wastes	4	78
4851	solubilization	3	86
4852	solution and solubility	1	48
4855	solutions	1	48
4856	sorption	1	49
4869	space research	2	20
4872	spain	2	28
4873	sparus aurata	2	27
4879	speciation	2	61
4880	speciation (chemistry)	1	48
4881	species composition	3	71
4882	species cultivation	1	55
4883	species differentiation	1	48
4885	specific growth rate	5	50
4886	specific surface area	1	37
4887	spectrometer	1	45
4888	spectrophotometry	4	66
4889	spectroscopy	2	23
4890	"spectroscopy, fourier transform infrared"	1	47
4893	sphingobacteria	2	105
4895	sphingomonadales	1	41
4896	spinach	8	81
4897	spinacia oleracea	12	142
4904	sprout spent irrigation water	1	38
4908	stakeholder	4	29
4912	standard deviation	1	50
4931	stocking density	20	252
4934	storm sewers	1	58
4935	storm water runoff	1	58
4936	storm-water runoff	1	58
4937	storms	1	58
4947	stream (river)	1	57
4956	students	7	49
4957	sturgeon	1	48
4960	submerged macrophyte	1	58
4963	substance misuse	1	40
4964	substrate	5	48
4971	sugar amino acids	1	36
4972	sugar concentration	1	36
4973	sugars	1	36
4975	sulfate	1	44
4977	sulfoquinovosyldiacylglycerol	1	45
4978	sulfur	2	71
4980	sunlight	1	58
4984	supervisory control and data acquisition	2	39
4990	support vector machines	2	20
4992	surface area	4	175
5001	surveys	5	57
5002	surveys and questionnaires	1	44
5003	survival	10	153
5004	survival rate	8	109
5006	suspended load	3	88
5009	suspended particulate matter	2	104
5011	sustainability	75	994
5014	sustainable	4	83
5015	sustainable agricultural	2	62
5017	sustainable agriculture	21	184
5018	sustainable aquaculture	13	102
5021	sustainable crop production	2	45
5023	sustainable development	62	1000
5025	sustainable ecosystems	1	35
5026	sustainable energy	2	15
5031	sustainable food production	4	29
5033	sustainable growth	2	52
5039	sustainable practices	2	73
5040	sustainable production	3	75
5042	sustainable resources	1	54
5043	sustainable solution	2	25
5044	sustainable systems	2	68
5046	sustainable technology	2	32
5051	sweet basil	3	43
5054	swiss chard	3	110
5056	switzerland	1	47
5060	symbiotic relationship	4	54
5064	synthetic fertilizers	3	84
5088	systems analysis	4	38
5089	systems engineering	2	21
5093	t-rflp	1	47
5100	tandem mass spectrometry	1	45
5101	tank	1	50
5103	tanks (containers)	19	392
5104	taxonomy	3	114
5108	teaching	3	22
5121	technological development	4	41
5124	technology	3	84
5125	technology adoption	6	69
5129	technology networking	1	36
5133	technology transfer	2	15
5138	teleost	3	97
5143	temperature	8	136
5144	temperature and humidities	2	23
5150	temperature control	2	21
5152	temperature effect	3	63
5162	terapontidae	1	44
5164	testing method	2	27
5174	textures	4	35
5178	theoretical model	1	50
5182	thermal energy	3	62
5183	thermal energy storage	3	62
5185	thermal power	1	39
5186	thermal processing (foods)	2	25
5193	thingspeak	2	27
5194	threat	1	49
5198	threshold	1	46
5199	threshold levels	1	46
5203	tilapia	98	1360
5209	time factor	1	51
5210	time factors	1	51
5219	tomato	22	434
5221	tomato crops	1	46
5223	tomato plant aquaponics	1	46
5224	tomato plants	1	46
5228	total amino acids	1	36
5229	total ammonia nitrogens	2	75
5232	total dissolved solids	4	61
5235	total organic carbon	4	144
5239	total suspended solids	5	128
5240	toxic effects	1	57
5241	toxic levels	1	46
5242	toxic material	1	57
5244	toxic substance	1	44
5246	toxicity	4	136
5248	toxicity testing	1	57
5249	trace element	6	146
5256	training	2	34
5260	transcriptomics	1	44
5263	transformation	5	207
5264	transgenic microorganism	1	57
5265	transient analysis	1	39
5270	transpiration	2	40
5271	transplantation	2	41
5273	treatment and disposal	2	33
5279	treatment units	1	68
5281	trends	1	44
5291	trout	3	29
5292	tryptophan	1	37
5293	tuna	1	48
5294	turbidity	4	65
5299	turbines	2	94
5308	uasb	1	33
5312	ultrasonics	1	45
5313	ultrasound	1	45
5317	ultraviolet radiation	4	39
5321	unclassified drug	3	145
5331	united kingdom	2	48
5334	united states	13	278
5338	unspecific monooxygenase	1	61
5343	upscaling	2	26
5345	urban agriculture	23	182
5346	urban agricultures	5	53
5349	urban area	6	56
5350	urban areas	3	24
5356	urban environments	2	44
5357	urban farming	14	155
5364	urban growth	5	76
5368	urban planning	2	26
5372	urban region	2	31
5375	urban resilience	2	17
5376	urban resource management	1	47
5379	urban sustainability	2	33
5385	urbanization	3	37
5386	urea	2	31
5391	user interfaces	3	34
5394	user-computer interface	1	44
5395	using life	2	23
5406	value addition	1	46
5412	vegetable	33	615
5415	vegetable cultivation	4	50
5419	vegetable productions	6	123
5422	vegetables	28	487
5423	vegetables and fish	2	40
5427	vegetation	2	39
5439	verrucomicrobia	1	44
5445	vertical farming	9	37
5448	veterinary medicine	2	32
5455	viet nam	2	28
5456	vine	3	64
5457	viridiplantae	2	31
5473	wages	2	24
5477	waste	2	32
5478	waste collection	1	34
5480	waste component removal	3	174
5481	waste discharges	1	68
5482	waste disposal	3	93
5483	"waste disposal, fluid"	3	128
5486	waste management	13	354
5489	waste production	3	44
5490	waste recycling	1	49
5492	waste stabilization ponds	1	35
5493	waste stream	1	56
5496	waste treatment	15	357
5497	waste utilization	2	26
5498	waste water	12	442
5499	waste water management	4	206
5500	waste water recycling	2	64
5501	waste water treatment plant	1	57
5505	wastewater	28	647
5509	wastewater management	2	32
5511	wastewater reclamation	9	226
5513	wastewater treatment	29	635
5516	water	25	862
5518	water absorption	3	76
5519	water aeration	2	54
5520	water analysis	3	104
5521	water and energies	2	35
5525	water bacteriology	1	45
5526	water budget	2	72
5531	water circulation	5	59
5533	water conservation	19	344
5534	water consumption	4	54
5535	water contamination	1	43
5536	water content	1	35
5547	water exchange	3	28
5549	water filtration	4	66
5550	water flow	7	208
5552	water heating	2	52
5553	water hyacinth	1	49
5554	water hyacinth roots	1	49
5557	water levels	10	121
5558	water loss	2	109
5559	water management	14	352
5561	water metabolism	1	55
5562	water microbiology	3	135
5563	water monitoring	3	32
5567	water pollutant	1	49
5568	"water pollutants, chemical"	1	49
5569	water pollution	7	204
5570	water pollution control	1	35
5573	water purification	6	215
5574	water quality	150	2595
5578	water quality monitoring	4	53
5580	water quality parameters	9	203
5582	water recirculation	5	90
5585	water recycling	8	181
5587	water repellence	1	36
5589	water resource	2	60
5590	water resources	9	99
5591	water retention	1	51
5592	water reuse	8	176
5593	water sampling	3	88
5595	water scarcity	5	96
5597	water spinach	11	198
5599	water spinachs	7	190
5600	water storage ponds	1	58
5602	water supply	13	359
5603	water supply systems	2	21
5604	water tanks	2	27
5606	water temperature	10	316
5610	water temperatures	11	119
5611	water transport	1	45
5612	water treatment	29	664
5614	water treatment plants	2	79
5618	water use	7	172
5619	water use efficiency	11	265
5627	watercress	5	75
5631	waters resources	2	24
5634	waterworks	2	44
5644	weight	6	162
5653	western hemisphere	1	36
5654	wetland	3	108
5655	wetlands	10	203
5658	wifi	3	22
5661	willingness to pay	5	53
5663	wind power	5	76
5671	wireless sensor network	3	37
5672	wireless sensor networks	4	31
5676	world	1	36
5678	world population	2	20
5688	yield	7	102
5689	yield response	3	105
5690	young adult	2	84
5697	zinc ion	1	49
