component,total_dissolved,total_precipitated,fate,percentage,cation_anion
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,0.0016016,1.7612e-5,precipitated,1.088,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,9.361e-5,0,precipitated,0,cation
Ca+2,0.003456,1.1674e-4,precipitated,3.268,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,3.9966e-8,1.1111e-7,precipitated,73.545,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,5.9481e-15,1.0428e-6,precipitated,100,cation
H+1,-8.5983e-6,0,precipitated,0,cation
H3BO3,6.1767000000000005e-6,0,precipitated,0,anion
K+1,2.9922e-4,0,precipitated,0,cation
Mg+2,7.0087e-4,0,precipitated,0,cation
Mn+2,6.206799999999999e-7,0,precipitated,0,cation
NH4+1,2.5987e-4,0,precipitated,0,cation
NO2-1,9.999899999999999e-17,0,precipitated,0,anion
NO3-1,0.0015191999999999998,0,precipitated,0,anion
PO4-3,1.2817e-8,7.0046e-5,precipitated,99.982,anion
SO4-2,0.0010279,0,precipitated,0,anion
Zn+2,7.2585e-7,0,precipitated,0,cation
Ca+2,1.8338e-4,0,precipitated,0,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,3.9342e-6,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.436e-4,0,precipitated,0,anion
Fe+3,5.6698e-14,4.7809e-8,precipitated,100,cation
H+1,-8.8137e-7,0,precipitated,0,cation
H3BO3,9.3247e-4,0,precipitated,0,anion
K+1,7.1608e-6,0,precipitated,0,cation
Mg+2,4.4834000000000005e-5,0,precipitated,0,cation
Mn+2,1.256e-5,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,1e-16,0,precipitated,0,anion
PO4-3,1e-16,0,precipitated,0,anion
SO4-2,1e-16,0,precipitated,0,anion
Zn+2,1.5451e-5,0,precipitated,0,cation
Ca+2,2.9894e-4,4.6686e-7,precipitated,0.156,cation
CO3-2,1.7997000000000001e-6,0,precipitated,0,anion
Cu+2,9.999599999999999e-17,0,precipitated,0,cation
DOC (Gaussian DOM),0.0016667,0,precipitated,0,anion
DOM1,1.4361000000000002e-4,0,precipitated,0,anion
Fe+3,1e-16,0,precipitated,0,cation
H+1,-7.8083e-7,0,precipitated,0,cation
H3BO3,1e-16,0,precipitated,0,anion
K+1,2.5574e-7,0,precipitated,0,cation
Mg+2,1e-16,0,precipitated,0,cation
Mn+2,1e-16,0,precipitated,0,cation
NH4+1,1e-16,0,precipitated,0,cation
NO2-1,1e-16,0,precipitated,0,anion
NO3-1,2.0526e-4,0,precipitated,0,anion
